Attacker No.,Database,Time Entered,Time Spent (S),Commands Run,Modification Attempts,Filename,Database (Avgs),Total # Attackers,# Relevant Attackers,Avg Time Connected,Avg Commands Run,Avg File Modifications
237,3,2022-10-21 01:31:57.523,0.218,0,0,2022-10-21-2121_DATABASE_3_log,,,,,,
238,4,2022-10-21 01:31:57.523,0.247,0,0,2022-10-21-2127_DATABASE_4_log,,,,,,
239,4,2022-10-21 01:31:57.524,0.248,0,0,2022-10-21-2132_DATABASE_4_log,,,,,,
240,2,2022-10-21 01:31:57.525,0.248,72,76,2022-10-21-2133_DATABASE_2_log,,,,,,
241,3,2022-10-21 01:31:57.525,0.264,0,0,2022-10-21-2138_DATABASE_3_log,,,,,,
242,3,2022-10-21 01:31:57.526,0.282,0,0,2022-10-21-2139_DATABASE_3_log,,,,,,
243,3,2022-10-21 01:31:57.526,0.025,0,0,2022-10-21-2141_DATABASE_3_log,,,,,,
244,3,2022-10-21 01:31:57.527,-0.197,0,0,2022-10-21-2147_DATABASE_3_log,,,,,,
245,2,2022-10-21 01:31:57.527,0.042,0,0,2022-10-21-2148_DATABASE_2_log,,,,,,
246,1,2022-10-21 01:31:57.528,0.042,2,0,2022-10-21-2149_DATABASE_1_log,,,,,,
247,2,2022-10-21 01:31:57.528,0.182,0,0,2022-10-21-2149_DATABASE_2_log,,,,,,
248,4,2022-10-21 01:31:57.528,0.183,0,0,2022-10-21-2150_DATABASE_4_log,,,,,,
249,1,2022-10-21 01:31:57.529,0.183,6,0,2022-10-21-2151_DATABASE_1_log,,,,,,
250,4,2022-10-21 01:31:57.529,0.186,0,0,2022-10-21-2153_DATABASE_4_log,,,,,,
